country,flag
Arab World,0
Caribbean small states,0
Central Europe and the Baltics,0
Early-demographic dividend,0
East Asia & Pacific,0
East Asia & Pacific (excluding high income),0
East Asia & Pacific (IDA & IBRD countries),0
Euro area,0
Europe & Central Asia,0
Europe & Central Asia (excluding high income),0
Europe & Central Asia (IDA & IBRD countries),0
European Union,0
Fragile and conflict affected situations,0
Heavily indebted poor countries (HIPC),0
High income,0
IBRD only,0
IDA & IBRD total,0
IDA blend,0
IDA only,0
IDA total,0
Late-demographic dividend,0
Latin America & Caribbean,0
Latin America & Caribbean (excluding high income),0
Latin America & the Caribbean (IDA & IBRD countries),0
Least developed countries: UN classification,0
Low & middle income,0
Low income,0
Lower middle income,0
Middle East & North Africa,0
Middle East & North Africa (excluding high income),0
Middle East & North Africa (IDA & IBRD countries),0
Middle income,0
North America,0
Not classified,0
OECD members,0
Other small states,0
Pacific island small states,0
Post-demographic dividend,0
Pre-demographic dividend,0
Small states,0
South Asia,0
South Asia (IDA & IBRD),0
Sub-Saharan Africa,0
Sub-Saharan Africa (excluding high income),0
Sub-Saharan Africa (IDA & IBRD countries),0
Upper middle income,0
World,0
Afghanistan,0
Albania,0
Algeria,0
American Samoa,0
Andorra,0
Angola,0
Antigua and Barbuda,0
Argentina,0
Armenia,0
Aruba,0
Australia,0
Austria,0
Azerbaijan,0
"Bahamas, The",0
Bahrain,0
Bangladesh,0
Barbados,0
Belarus,0
Belgium,0
Belize,0
Benin,0
Bermuda,0
Bhutan,0
Bolivia,0
Bosnia and Herzegovina,0
Botswana,0
Brazil,0
British Virgin Islands,0
Brunei Darussalam,0
Bulgaria,0
Burkina Faso,0
Burundi,0
Cabo Verde,0
Cambodia,0
Cameroon,0
Canada,0
Cayman Islands,0
Central African Republic,0
Chad,0
Channel Islands,0
Chile,0
China,0
Colombia,0
Comoros,0
"Congo, Dem. Rep.",0
"Congo, Rep.",0
Costa Rica,0
Cote d'Ivoire,0
Croatia,0
Cuba,0
Curacao,0
Cyprus,0
Czech Republic,0
Denmark,0
Djibouti,0
Dominica,0
Dominican Republic,0
Ecuador,0
"Egypt, Arab Rep.",0
El Salvador,0
Equatorial Guinea,0
Eritrea,0
Estonia,0
Eswatini,0
Ethiopia,0
Faroe Islands,0
Fiji,0
Finland,0
France,0
French Polynesia,0
Gabon,0
"Gambia, The",0
Georgia,0
Germany,0
Ghana,0
Gibraltar,0
Greece,0
Greenland,0
Grenada,0
Guam,0
Guatemala,0
Guinea,0
Guinea-Bissau,0
Guyana,0
Haiti,0
Honduras,0
"Hong Kong SAR, China",0
Hungary,0
Iceland,0
India,0
Indonesia,0
"Iran, Islamic Rep.",0
Iraq,0
Ireland,0
Isle of Man,0
Israel,0
Italy,0
Jamaica,0
Japan,0
Jordan,0
Kazakhstan,0
Kenya,0
Kiribati,0
"Korea, Dem. People’s Rep.",0
"Korea, Rep.",0
Kosovo,0
Kuwait,0
Kyrgyz Republic,0
Lao PDR,0
Latvia,0
Lebanon,0
Lesotho,0
Liberia,0
Libya,0
Liechtenstein,0
Lithuania,0
Luxembourg,0
"Macao SAR, China",0
Madagascar,0
Malawi,0
Malaysia,0
Maldives,0
Mali,0
Malta,0
Marshall Islands,0
Mauritania,0
Mauritius,0
Mexico,0
"Micronesia, Fed. Sts.",0
Moldova,0
Monaco,0
Mongolia,0
Montenegro,0
Morocco,0
Mozambique,0
Myanmar,0
Namibia,0
Nauru,0
Nepal,0
Netherlands,0
New Caledonia,0
New Zealand,0
Nicaragua,0
Niger,0
Nigeria,0
North Macedonia,0
Northern Mariana Islands,0
Norway,0
Oman,0
Pakistan,0
Palau,0
Panama,0
Papua New Guinea,0
Paraguay,0
Peru,0
Philippines,0
Poland,0
Portugal,0
Puerto Rico,0
Qatar,0
Romania,0
Russian Federation,0
Rwanda,0
Samoa,0
San Marino,0
Sao Tome and Principe,0
Saudi Arabia,0
Senegal,0
Serbia,0
Seychelles,0
Sierra Leone,0
Singapore,0
Sint Maarten (Dutch part),0
Slovak Republic,0
Slovenia,0
Solomon Islands,0
Somalia,0
South Africa,0
South Sudan,0
Spain,0
Sri Lanka,0
St. Kitts and Nevis,0
St. Lucia,0
St. Martin (French part),0
St. Vincent and the Grenadines,0
Sudan,0
Suriname,0
Sweden,0
Switzerland,0
Syrian Arab Republic,0
Tajikistan,0
Tanzania,0
Thailand,0
Timor-Leste,0
Togo,0
Tonga,0
Trinidad and Tobago,0
Tunisia,0
Turkey,0
Turkmenistan,0
Turks and Caicos Islands,0
Tuvalu,0
Uganda,0
Ukraine,0
United Arab Emirates,0
United Kingdom,0
United States,0
Uruguay,0
Uzbekistan,0
Vanuatu,0
"Venezuela, RB",0
Vietnam,0
Virgin Islands (U.S.),0
West Bank and Gaza,0
"Yemen, Rep.",0
Zambia,0
Zimbabwe,0
