indicator,flag
"2005 PPP conversion factor, GDP (LCU per international $)",0
"2005 PPP conversion factor, private consumption (LCU per international $)",0
Access to clean fuels and technologies for cooking (% of population),0
Access to electricity (% of population),0
"Access to electricity, rural (% of rural population)",0
"Access to electricity, urban (% of urban population)",0
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",0
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",0
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",0
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",0
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0
Adequacy of social insurance programs (% of total welfare of beneficiary households),0
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),0
Adequacy of social safety net programs (% of total welfare of beneficiary households),0
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),0
"Adjusted net enrollment rate, primary (% of primary school age children)",0
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0
Adjusted net national income (annual % growth),0
Adjusted net national income (constant 2010 US$),0
Adjusted net national income (current US$),0
Adjusted net national income per capita (annual % growth),0
Adjusted net national income per capita (constant 2010 US$),0
Adjusted net national income per capita (current US$),0
"Adjusted net savings, excluding particulate emission damage (% of GNI)",0
"Adjusted net savings, excluding particulate emission damage (current US$)",0
"Adjusted net savings, including particulate emission damage (% of GNI)",0
"Adjusted net savings, including particulate emission damage (current US$)",0
Adjusted savings: carbon dioxide damage (% of GNI),0
Adjusted savings: carbon dioxide damage (current US$),0
Adjusted savings: consumption of fixed capital (% of GNI),0
Adjusted savings: consumption of fixed capital (current US$),0
Adjusted savings: education expenditure (% of GNI),0
Adjusted savings: education expenditure (current US$),0
Adjusted savings: energy depletion (% of GNI),0
Adjusted savings: energy depletion (current US$),0
Adjusted savings: gross savings (% of GNI),0
Adjusted savings: mineral depletion (% of GNI),0
Adjusted savings: mineral depletion (current US$),0
Adjusted savings: natural resources depletion (% of GNI),0
Adjusted savings: net forest depletion (% of GNI),0
Adjusted savings: net forest depletion (current US$),0
Adjusted savings: net national savings (% of GNI),0
Adjusted savings: net national savings (current US$),0
Adjusted savings: particulate emission damage (% of GNI),0
Adjusted savings: particulate emission damage (current US$),0
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0
Adolescents out of school (% of lower secondary school age),0
"Adolescents out of school, female (% of female lower secondary school age)",0
