OBJECTID,X,Y
1001,-82.162198,35.4255736
1003,-81.9292728,35.356019
1004,-81.9061226,35.288096
1006,-81.8696866,35.3327841
1007,-81.7581282,35.3271265
1009,-82.2480633,35.4407998
1010,-81.7731779,35.4845174
1011,-80.2647773,36.0006328
1012,-82.1516622,35.4485504
1013,-80.5189917,36.1147939
1014,-75.6919683,35.9202521
1015,-75.6139324,35.9340355
1016,-75.5807849,35.2612916
1017,-81.9303112,36.0224951
1018,-81.8716175,36.1631318
1019,-78.3643802,35.3153398
1020,-78.4960558,35.752587
1021,-80.1646039,36.1409624
1022,-80.5034191,35.2416461
1023,-78.7978574,35.5816642
1024,-80.6730712,35.3755656
1025,-80.6287166,35.48931
1026,-80.5833961,35.3658637
1027,-79.864423,36.2263362
1028,-79.9847188,36.241421
1029,-79.6786774,35.9408933
1030,-79.8305644,35.9435475
1031,-79.8984388,35.9639658
1032,-79.564642,36.2167519
1033,-77.6287936,34.366158
1034,-79.7586663,36.2296762
1037,-79.9662894,35.9552557
1038,-80.0241107,35.9393195
1039,-79.9792818,35.9786374
1040,-79.9878129,35.9310305
1042,-80.0340222,35.9542422
1043,-79.9400446,36.0406723
1044,-79.971256,36.0311359
1046,-79.5400133,36.1071652
1047,-79.5697646,36.1603051
1048,-79.4724049,34.7560757
1049,-80.2597267,35.8455073
1050,-79.9829342,36.055712
1051,-79.7416294,36.0644959
1052,-79.6404815,36.0756383
1053,-79.7132144,36.1530926
1054,-79.8136521,36.1425118
1055,-79.9013791,36.1983146
1057,-81.911319,35.345798
1058,-79.6889666,35.986171
1060,-77.4025255,34.545372
1061,-78.361427,35.5256097
1062,-78.3777993,33.9813376
1063,-78.5025573,34.952159
1064,-78.4567492,35.9217736
1066,-80.4178988,35.5535142
1067,-80.4816734,35.476232
1068,-78.7872031,35.8808114
1069,-78.6408765,35.7759944
1070,-78.586779,35.8235454
1071,-78.7055947,35.8180349
1072,-76.7294554,35.8626911
1073,-80.8893915,35.0861829
1074,-79.469057,35.200516
1076,-79.999859,36.1719774
1077,-81.1421031,36.1735881
1078,-81.2179253,35.661765
1079,-81.3755318,35.6250295
1080,-81.2238736,35.66347
1081,-77.2066878,35.2008865
1084,-84.0340605,35.0870877
1085,-80.3684342,35.4391402
1087,-80.6214686,36.5039442
1088,-80.6201701,36.4777798
1091,-80.5723746,35.8990684
1092,-80.5034147,35.241642
1093,-77.2318206,34.9059882
1094,-79.3468845,34.736223
1095,-80.7014502,35.168206
1096,-82.1609337,35.6435893
1097,-79.9571551,36.3872963
1098,-78.139204,36.1334119
1100,-81.2387193,35.4909171
1101,-79.572811,35.9363476
1102,-80.2428707,35.8313732
1103,-80.2621956,35.8114444
1105,-80.2505781,35.8225504
1106,-80.4178625,36.0949097
1108,-82.7024795,35.6567655
1109,-81.4959942,36.5546822
1110,-82.162202,35.4255723
1111,-75.9249874,36.5074784
1113,-80.5509753,35.497091
1114,-80.6134449,35.5065405
1115,-77.274906,34.7955748
1116,-77.4011167,34.7960246
1117,-77.4219003,36.3902774
1118,-80.8429494,35.4250013
1122,-79.073016,36.0202158
1123,-79.1007448,36.0633602
1126,-82.4678392,35.3209867
1127,-82.4708254,35.3285391
1128,-78.3904869,36.3449555
1129,-79.3634088,36.0916777
1130,-77.6859598,34.3867447
1131,-77.6820041,36.1811044
1132,-81.4479122,35.1708577
1133,-77.229754,35.6226424
1134,-77.2991087,35.5535269
1135,-79.9347533,36.1279003
